state_id,failure_category,current_method,amount_minor,no_action_probability,NO_ACTION_action,NO_ACTION_recovery_probability,NO_ACTION_merchant_value_minor,GOVERNOR_T0_action,GOVERNOR_T0_recovery_probability,GOVERNOR_T0_merchant_value_minor,GOVERNOR_T5_action,GOVERNOR_T5_recovery_probability,GOVERNOR_T5_merchant_value_minor,GOVERNOR_T10_action,GOVERNOR_T10_recovery_probability,GOVERNOR_T10_merchant_value_minor,GOVERNOR_T20_action,GOVERNOR_T20_recovery_probability,GOVERNOR_T20_merchant_value_minor,ECONOMIC_ORACLE_action,ECONOMIC_ORACLE_recovery_probability,ECONOMIC_ORACLE_merchant_value_minor
14,USER_CANCELLED,UPI,50777,0.36,NO_ACTION,0.36,6397.901999999999,NUDGE,0.5,8685.974999999999,NUDGE,0.5,8685.974999999999,NO_ACTION,0.36,6397.901999999999,NO_ACTION,0.36,6397.901999999999,NUDGE,0.5,8685.974999999999
15,USER_CANCELLED,CREDIT_CARD,75643,0.68,NO_ACTION,0.68,18003.034,NUDGE,0.72,18862.036,NUDGE,0.72,18862.036,NO_ACTION,0.68,18003.034,NO_ACTION,0.68,18003.034,NUDGE,0.72,18862.036
16,USER_CANCELLED,UPI,103818,0.58,NO_ACTION,0.58,21075.053999999996,NUDGE,0.76,27415.587999999996,NUDGE,0.76,27415.587999999996,NUDGE,0.76,27415.587999999996,NO_ACTION,0.58,21075.053999999996,NUDGE,0.76,27415.587999999996
17,AUTHENTICATION_FAILURE,NETBANKING,188835,0.68,NO_ACTION,0.68,44942.73,NUDGE,0.7,46064.575,NUDGE,0.7,46064.575,NUDGE,0.7,46064.575,NUDGE,0.7,46064.575,NUDGE,0.7,46064.575
18,USER_CANCELLED,UPI,104384,0.66,NO_ACTION,0.66,24112.703999999998,NUDGE,0.7,25374.079999999994,NUDGE,0.7,25374.079999999994,NUDGE,0.7,25374.079999999994,NO_ACTION,0.66,24112.703999999998,NUDGE,0.7,25374.079999999994
19,USER_CANCELLED,CREDIT_CARD,64107,0.6,NO_ACTION,0.6,13462.469999999998,NUDGE,0.68,15057.465999999999,NUDGE,0.68,15057.465999999999,NO_ACTION,0.6,13462.469999999998,NO_ACTION,0.6,13462.469999999998,NUDGE,0.68,15057.465999999999
20,ISSUER_DECLINED,DEBIT_CARD,242239,0.62,NO_ACTION,0.62,52565.863,NUDGE,0.64,54061.536,NUDGE,0.64,54061.536,NUDGE,0.64,54061.536,NO_ACTION,0.62,52565.863,NUDGE,0.64,54061.536
21,AUTHENTICATION_FAILURE,UPI,133822,0.76,NO_ACTION,0.76,35596.651999999995,SWITCH_NETBANKING,0.76,35546.651999999995,NO_ACTION,0.76,35596.651999999995,NO_ACTION,0.76,35596.651999999995,NO_ACTION,0.76,35596.651999999995,NO_ACTION,0.76,35596.651999999995
22,ISSUER_DECLINED,UPI,149335,0.68,NO_ACTION,0.68,35541.73,SWITCH_NETBANKING,0.78,40718.455,SWITCH_NETBANKING,0.78,40718.455,NO_ACTION,0.68,35541.73,NO_ACTION,0.68,35541.73,SWITCH_DEBIT_CARD,0.78,40718.455
23,AUTHENTICATION_FAILURE,UPI,114007,0.74,NO_ACTION,0.74,29527.813,NUDGE,0.8,31721.96,NUDGE,0.8,31721.96,NUDGE,0.8,31721.96,NO_ACTION,0.74,29527.813,NUDGE,0.8,31721.96
24,USER_CANCELLED,CREDIT_CARD,103359,0.5,NO_ACTION,0.5,18087.824999999997,NUDGE,0.68,24399.442,NUDGE,0.68,24399.442,NUDGE,0.68,24399.442,NO_ACTION,0.5,18087.824999999997,NUDGE,0.68,24399.442
25,AUTHENTICATION_FAILURE,UPI,309534,0.66,NO_ACTION,0.66,71502.354,NO_ACTION,0.66,71502.354,NO_ACTION,0.66,71502.354,NO_ACTION,0.66,71502.354,NO_ACTION,0.66,71502.354,SWITCH_DEBIT_CARD,0.68,73619.092
26,TECHNICAL_FAILURE,DEBIT_CARD,109010,0.82,NO_ACTION,0.82,31285.87,SWITCH_NETBANKING,0.84,31998.94,NO_ACTION,0.82,31285.87,NO_ACTION,0.82,31285.87,NO_ACTION,0.82,31285.87,SWITCH_NETBANKING,0.84,31998.94
27,INSUFFICIENT_FUNDS,UPI,85875,0.36,NO_ACTION,0.36,10820.249999999998,SWITCH_DEBIT_CARD,0.64,19185.999999999996,SWITCH_DEBIT_CARD,0.64,19185.999999999996,SWITCH_DEBIT_CARD,0.64,19185.999999999996,NO_ACTION,0.36,10820.249999999998,SWITCH_DEBIT_CARD,0.64,19185.999999999996
28,AUTHENTICATION_FAILURE,UPI,307597,0.64,NO_ACTION,0.64,68901.728,SWITCH_NETBANKING,0.66,71004.907,NO_ACTION,0.64,68901.728,NO_ACTION,0.64,68901.728,NO_ACTION,0.64,68901.728,SWITCH_DEBIT_CARD,0.66,71004.907
29,USER_CANCELLED,UPI,90945,0.5,NO_ACTION,0.5,15915.374999999998,NUDGE,0.64,20171.679999999997,NUDGE,0.64,20171.679999999997,NUDGE,0.64,20171.679999999997,NUDGE,0.64,20171.679999999997,NUDGE,0.64,20171.679999999997
30,TECHNICAL_FAILURE,CREDIT_CARD,222243,0.78,NO_ACTION,0.78,60672.33899999999,SWITCH_NETBANKING,0.78,60622.33899999999,SWITCH_NETBANKING,0.78,60622.33899999999,NO_ACTION,0.78,60672.33899999999,NO_ACTION,0.78,60672.33899999999,NO_ACTION,0.78,60672.33899999999
31,INSUFFICIENT_FUNDS,CREDIT_CARD,205743,0.18,NO_ACTION,0.18,12961.808999999997,SWITCH_NETBANKING,0.34,24433.416999999998,SWITCH_NETBANKING,0.34,24433.416999999998,SWITCH_NETBANKING,0.34,24433.416999999998,SWITCH_NETBANKING,0.34,24433.416999999998,SWITCH_UPI,0.34,24433.416999999998
32,ISSUER_DECLINED,UPI,210403,0.58,NO_ACTION,0.58,42711.808999999994,SWITCH_NETBANKING,0.62,45607.450999999994,SWITCH_NETBANKING,0.62,45607.450999999994,SWITCH_NETBANKING,0.62,45607.450999999994,NO_ACTION,0.58,42711.808999999994,SWITCH_CREDIT_CARD,0.62,45607.450999999994
33,AUTHENTICATION_FAILURE,CREDIT_CARD,106236,0.68,NO_ACTION,0.68,25284.168,NO_ACTION,0.68,25284.168,NO_ACTION,0.68,25284.168,NO_ACTION,0.68,25284.168,NO_ACTION,0.68,25284.168,SWITCH_UPI,0.7,25977.819999999996
34,TECHNICAL_FAILURE,UPI,281030,0.6,NO_ACTION,0.6,59016.299999999996,SWITCH_NETBANKING,0.56,55031.880000000005,SWITCH_NETBANKING,0.56,55031.880000000005,SWITCH_NETBANKING,0.56,55031.880000000005,NO_ACTION,0.6,59016.299999999996,NUDGE,0.72,70619.56
35,ISSUER_DECLINED,UPI,268300,0.48,NO_ACTION,0.48,45074.4,SWITCH_NETBANKING,0.6,56293.0,NO_ACTION,0.48,45074.4,NO_ACTION,0.48,45074.4,NO_ACTION,0.48,45074.4,SWITCH_NETBANKING,0.6,56293.0
36,TECHNICAL_FAILURE,UPI,464695,0.54,NO_ACTION,0.54,87827.35500000001,NO_ACTION,0.54,87827.35500000001,NO_ACTION,0.54,87827.35500000001,NO_ACTION,0.54,87827.35500000001,NO_ACTION,0.54,87827.35500000001,SWITCH_NETBANKING,0.6,97535.95
37,USER_CANCELLED,UPI,440978,0.58,NO_ACTION,0.58,89518.53399999999,NUDGE,0.6,92405.37999999999,NUDGE,0.6,92405.37999999999,NUDGE,0.6,92405.37999999999,NUDGE,0.6,92405.37999999999,NUDGE,0.6,92405.37999999999
38,USER_CANCELLED,UPI,143198,0.6,NO_ACTION,0.6,30071.579999999994,NO_ACTION,0.6,30071.579999999994,NO_ACTION,0.6,30071.579999999994,NO_ACTION,0.6,30071.579999999994,NO_ACTION,0.6,30071.579999999994,NO_ACTION,0.6,30071.579999999994
39,USER_CANCELLED,UPI,79922,0.7,NO_ACTION,0.7,19580.889999999996,NUDGE,0.78,21618.706,NUDGE,0.78,21618.706,NO_ACTION,0.7,19580.889999999996,NO_ACTION,0.7,19580.889999999996,NUDGE,0.78,21618.706
40,INSUFFICIENT_FUNDS,UPI,105755,0.5,NO_ACTION,0.5,18507.125,SWITCH_NETBANKING,0.68,25119.690000000002,SWITCH_NETBANKING,0.68,25119.690000000002,SWITCH_NETBANKING,0.68,25119.690000000002,SWITCH_NETBANKING,0.68,25119.690000000002,SWITCH_NETBANKING,0.68,25119.690000000002
41,INSUFFICIENT_FUNDS,UPI,121729,0.56,NO_ACTION,0.56,23858.884,SWITCH_NETBANKING,0.64,27217.296,SWITCH_NETBANKING,0.64,27217.296,SWITCH_NETBANKING,0.64,27217.296,SWITCH_NETBANKING,0.64,27217.296,SWITCH_DEBIT_CARD,0.64,27217.296
42,USER_CANCELLED,CREDIT_CARD,117446,0.68,NO_ACTION,0.68,27952.148,NO_ACTION,0.68,27952.148,NO_ACTION,0.68,27952.148,NO_ACTION,0.68,27952.148,NO_ACTION,0.68,27952.148,NO_ACTION,0.68,27952.148
43,ISSUER_DECLINED,UPI,122540,0.68,NO_ACTION,0.68,29164.52,SWITCH_NETBANKING,0.68,29114.52,NO_ACTION,0.68,29164.52,NO_ACTION,0.68,29164.52,NO_ACTION,0.68,29164.52,SWITCH_CREDIT_CARD,0.7,29972.3
44,USER_CANCELLED,UPI,286399,0.48,NO_ACTION,0.48,48115.03199999999,NUDGE,0.52,51924.618,NUDGE,0.52,51924.618,NUDGE,0.52,51924.618,NUDGE,0.52,51924.618,NUDGE,0.52,51924.618
45,ISSUER_DECLINED,DEBIT_CARD,251504,0.66,NO_ACTION,0.66,58097.424,NUDGE,0.64,56136.896,NUDGE,0.64,56136.896,NUDGE,0.64,56136.896,NUDGE,0.64,56136.896,SWITCH_UPI,0.72,63329.007999999994
46,ISSUER_DECLINED,UPI,306982,0.62,NO_ACTION,0.62,66615.094,SWITCH_NETBANKING,0.64,68713.968,SWITCH_NETBANKING,0.64,68713.968,SWITCH_NETBANKING,0.64,68713.968,SWITCH_NETBANKING,0.64,68713.968,NUDGE,0.66,70712.842
47,ISSUER_DECLINED,DEBIT_CARD,123098,0.66,NO_ACTION,0.66,28435.638,NUDGE,0.7,29959.009999999995,NUDGE,0.7,29959.009999999995,NUDGE,0.7,29959.009999999995,NUDGE,0.7,29959.009999999995,NUDGE,0.7,29959.009999999995
48,USER_CANCELLED,UPI,83190,0.64,NO_ACTION,0.64,18634.559999999998,NO_ACTION,0.64,18634.559999999998,NO_ACTION,0.64,18634.559999999998,NO_ACTION,0.64,18634.559999999998,NO_ACTION,0.64,18634.559999999998,NO_ACTION,0.64,18634.559999999998
49,BANK_OR_PROVIDER_UNAVAILABLE,UPI,149202,0.64,NO_ACTION,0.64,33421.248,NUDGE,0.72,37398.903999999995,NO_ACTION,0.64,33421.248,NO_ACTION,0.64,33421.248,NO_ACTION,0.64,33421.248,NUDGE,0.72,37398.903999999995
50,AUTHENTICATION_FAILURE,UPI,71284,0.64,NO_ACTION,0.64,15967.615999999998,NO_ACTION,0.64,15967.615999999998,NO_ACTION,0.64,15967.615999999998,NO_ACTION,0.64,15967.615999999998,NO_ACTION,0.64,15967.615999999998,NO_ACTION,0.64,15967.615999999998
51,AUTHENTICATION_FAILURE,UPI,204441,0.76,NO_ACTION,0.76,54381.306,SWITCH_NETBANKING,0.78,55762.393,NO_ACTION,0.76,54381.306,NO_ACTION,0.76,54381.306,NO_ACTION,0.76,54381.306,SWITCH_DEBIT_CARD,0.78,55762.393
52,AUTHENTICATION_FAILURE,UPI,253499,0.64,NO_ACTION,0.64,56783.776,NO_ACTION,0.64,56783.776,NO_ACTION,0.64,56783.776,NO_ACTION,0.64,56783.776,NO_ACTION,0.64,56783.776,SWITCH_DEBIT_CARD,0.66,58508.269
53,USER_CANCELLED,UPI,111056,0.8,NO_ACTION,0.8,31095.68,SWITCH_NETBANKING,0.78,30268.288,NO_ACTION,0.8,31095.68,NO_ACTION,0.8,31095.68,NO_ACTION,0.8,31095.68,NO_ACTION,0.8,31095.68
54,USER_CANCELLED,CREDIT_CARD,56793,0.6,NO_ACTION,0.6,11926.529999999999,NUDGE,0.52,10136.326,NO_ACTION,0.6,11926.529999999999,NO_ACTION,0.6,11926.529999999999,NO_ACTION,0.6,11926.529999999999,NO_ACTION,0.6,11926.529999999999
55,ISSUER_DECLINED,NETBANKING,156985,0.6,NO_ACTION,0.6,32966.85,NO_ACTION,0.6,32966.85,NO_ACTION,0.6,32966.85,NO_ACTION,0.6,32966.85,NO_ACTION,0.6,32966.85,NUDGE,0.72,39360.22
56,AUTHENTICATION_FAILURE,UPI,158278,0.66,NO_ACTION,0.66,36562.218,NO_ACTION,0.66,36562.218,NO_ACTION,0.66,36562.218,NO_ACTION,0.66,36562.218,NO_ACTION,0.66,36562.218,SWITCH_DEBIT_CARD,0.7,38728.10999999999
57,INSUFFICIENT_FUNDS,CREDIT_CARD,220424,0.24,NO_ACTION,0.24,18515.615999999998,SWITCH_NETBANKING,0.38,29266.392,SWITCH_NETBANKING,0.38,29266.392,SWITCH_NETBANKING,0.38,29266.392,SWITCH_NETBANKING,0.38,29266.392,SWITCH_UPI,0.42,32352.327999999998
58,USER_CANCELLED,UPI,264529,0.58,NO_ACTION,0.58,53699.386999999995,SWITCH_CREDIT_CARD,0.58,53649.386999999995,NO_ACTION,0.58,53699.386999999995,NO_ACTION,0.58,53699.386999999995,NO_ACTION,0.58,53699.386999999995,NO_ACTION,0.58,53699.386999999995
59,USER_CANCELLED,UPI,267924,0.72,NO_ACTION,0.72,67516.848,NUDGE,0.66,61690.443999999996,NUDGE,0.66,61690.443999999996,NUDGE,0.66,61690.443999999996,NUDGE,0.66,61690.443999999996,NO_ACTION,0.72,67516.848
60,AUTHENTICATION_FAILURE,UPI,342226,0.7,NO_ACTION,0.7,83845.37,NO_ACTION,0.7,83845.37,NO_ACTION,0.7,83845.37,NO_ACTION,0.7,83845.37,NO_ACTION,0.7,83845.37,NO_ACTION,0.7,83845.37
61,TECHNICAL_FAILURE,UPI,268809,0.48,NO_ACTION,0.48,45159.912,NUDGE,0.66,61894.879,NUDGE,0.66,61894.879,NUDGE,0.66,61894.879,NUDGE,0.66,61894.879,NUDGE,0.66,61894.879
62,AUTHENTICATION_FAILURE,DEBIT_CARD,133107,0.56,NO_ACTION,0.56,26088.972,SWITCH_NETBANKING,0.68,31629.466,SWITCH_NETBANKING,0.68,31629.466,NO_ACTION,0.56,26088.972,NO_ACTION,0.56,26088.972,SWITCH_UPI,0.68,31629.466
63,USER_CANCELLED,UPI,118473,0.64,NO_ACTION,0.64,26537.951999999997,NO_ACTION,0.64,26537.951999999997,NO_ACTION,0.64,26537.951999999997,NO_ACTION,0.64,26537.951999999997,NO_ACTION,0.64,26537.951999999997,NO_ACTION,0.64,26537.951999999997
64,TECHNICAL_FAILURE,UPI,150828,0.86,NO_ACTION,0.86,45399.227999999996,SWITCH_CREDIT_CARD,0.84,44293.43199999999,SWITCH_CREDIT_CARD,0.84,44293.43199999999,NO_ACTION,0.86,45399.227999999996,NO_ACTION,0.86,45399.227999999996,NO_ACTION,0.86,45399.227999999996
65,USER_CANCELLED,UPI,53299,0.54,NO_ACTION,0.54,10073.510999999999,NUDGE,0.58,10619.696999999998,NO_ACTION,0.54,10073.510999999999,NO_ACTION,0.54,10073.510999999999,NO_ACTION,0.54,10073.510999999999,SWITCH_CREDIT_CARD,0.58,10769.696999999998
66,USER_CANCELLED,UPI,154236,0.58,NO_ACTION,0.58,31309.907999999996,NO_ACTION,0.58,31309.907999999996,NO_ACTION,0.58,31309.907999999996,NO_ACTION,0.58,31309.907999999996,NO_ACTION,0.58,31309.907999999996,NO_ACTION,0.58,31309.907999999996
67,USER_CANCELLED,UPI,475937,0.82,NO_ACTION,0.82,136593.91899999997,NUDGE,0.78,129730.80099999999,NUDGE,0.78,129730.80099999999,NUDGE,0.78,129730.80099999999,NUDGE,0.78,129730.80099999999,NO_ACTION,0.82,136593.91899999997
68,AUTHENTICATION_FAILURE,UPI,603525,0.76,NO_ACTION,0.76,160537.65,NUDGE,0.82,173011.675,NUDGE,0.82,173011.675,NUDGE,0.82,173011.675,NUDGE,0.82,173011.675,SWITCH_NETBANKING,0.82,173161.675
69,INSUFFICIENT_FUNDS,DEBIT_CARD,247440,0.7,NO_ACTION,0.7,60622.799999999996,SWITCH_NETBANKING,0.72,62304.88,SWITCH_NETBANKING,0.72,62304.88,SWITCH_NETBANKING,0.72,62304.88,SWITCH_NETBANKING,0.72,62304.88,SWITCH_UPI,0.74,64036.96
70,AUTHENTICATION_FAILURE,UPI,83314,0.72,NO_ACTION,0.72,20995.127999999997,NO_ACTION,0.72,20995.127999999997,NO_ACTION,0.72,20995.127999999997,NO_ACTION,0.72,20995.127999999997,NO_ACTION,0.72,20995.127999999997,SWITCH_NETBANKING,0.74,21528.325999999997
71,INSUFFICIENT_FUNDS,CREDIT_CARD,303778,0.46,NO_ACTION,0.46,48908.257999999994,SWITCH_NETBANKING,0.54,57364.041999999994,SWITCH_NETBANKING,0.54,57364.041999999994,SWITCH_NETBANKING,0.54,57364.041999999994,SWITCH_NETBANKING,0.54,57364.041999999994,SWITCH_UPI,0.58,61616.93399999999
72,ISSUER_DECLINED,CREDIT_CARD,532453,0.52,NO_ACTION,0.52,96906.446,SWITCH_NETBANKING,0.6,111765.12999999999,NO_ACTION,0.52,96906.446,NO_ACTION,0.52,96906.446,NO_ACTION,0.52,96906.446,SWITCH_UPI,0.62,115492.30099999999
73,AUTHENTICATION_FAILURE,UPI,139733,0.68,NO_ACTION,0.68,33256.454,NO_ACTION,0.68,33256.454,NO_ACTION,0.68,33256.454,NO_ACTION,0.68,33256.454,NO_ACTION,0.68,33256.454,NO_ACTION,0.68,33256.454
74,AUTHENTICATION_FAILURE,UPI,68396,0.78,NO_ACTION,0.78,18672.108,NO_ACTION,0.78,18672.108,NO_ACTION,0.78,18672.108,NO_ACTION,0.78,18672.108,NO_ACTION,0.78,18672.108,NO_ACTION,0.78,18672.108
75,USER_CANCELLED,UPI,246159,0.6,NO_ACTION,0.6,51693.38999999999,NUDGE,0.68,58385.842,NUDGE,0.68,58385.842,NUDGE,0.68,58385.842,NUDGE,0.68,58385.842,NUDGE,0.68,58385.842
76,TECHNICAL_FAILURE,UPI,44739,0.78,NO_ACTION,0.78,12213.747,NUDGE,0.9,13892.785,NUDGE,0.9,13892.785,NO_ACTION,0.78,12213.747,NO_ACTION,0.78,12213.747,NUDGE,0.9,13892.785
77,USER_CANCELLED,UPI,210277,0.5,NO_ACTION,0.5,36798.475,NUDGE,0.56,41014.292,NUDGE,0.56,41014.292,NUDGE,0.56,41014.292,NUDGE,0.56,41014.292,NUDGE,0.56,41014.292
78,INSTRUMENT_UNAVAILABLE,DEBIT_CARD,424724,0.66,NO_ACTION,0.66,98111.244,NUDGE,0.76,112776.584,NUDGE,0.76,112776.584,NUDGE,0.76,112776.584,NUDGE,0.76,112776.584,SWITCH_UPI,0.82,121845.78799999999
79,AUTHENTICATION_FAILURE,CREDIT_CARD,45798,0.54,NO_ACTION,0.54,8655.822,NUDGE,0.88,13905.784,NUDGE,0.88,13905.784,NO_ACTION,0.54,8655.822,NO_ACTION,0.54,8655.822,NUDGE,0.88,13905.784
80,AUTHENTICATION_FAILURE,UPI,42520,0.68,NO_ACTION,0.68,10119.76,NO_ACTION,0.68,10119.76,NO_ACTION,0.68,10119.76,NO_ACTION,0.68,10119.76,NO_ACTION,0.68,10119.76,NO_ACTION,0.68,10119.76
81,AUTHENTICATION_FAILURE,UPI,45537,0.74,NO_ACTION,0.74,11794.082999999999,NO_ACTION,0.74,11794.082999999999,NO_ACTION,0.74,11794.082999999999,NO_ACTION,0.74,11794.082999999999,NO_ACTION,0.74,11794.082999999999,NUDGE,0.9,14144.154999999999
82,TECHNICAL_FAILURE,UPI,60892,0.6,NO_ACTION,0.6,12787.319999999998,NUDGE,0.84,17702.247999999996,NUDGE,0.84,17702.247999999996,NO_ACTION,0.6,12787.319999999998,NO_ACTION,0.6,12787.319999999998,NUDGE,0.84,17702.247999999996
83,AUTHENTICATION_FAILURE,UPI,87780,0.74,NO_ACTION,0.74,22735.019999999997,SWITCH_NETBANKING,0.76,23299.479999999996,NO_ACTION,0.74,22735.019999999997,NO_ACTION,0.74,22735.019999999997,NO_ACTION,0.74,22735.019999999997,SWITCH_DEBIT_CARD,0.76,23299.479999999996
84,TECHNICAL_FAILURE,UPI,77394,0.8,NO_ACTION,0.8,21670.32,NO_ACTION,0.8,21670.32,NO_ACTION,0.8,21670.32,NO_ACTION,0.8,21670.32,NO_ACTION,0.8,21670.32,NO_ACTION,0.8,21670.32
85,AUTHENTICATION_FAILURE,UPI,140627,0.88,NO_ACTION,0.88,43313.115999999995,SWITCH_DEBIT_CARD,0.84,41294.337999999996,NO_ACTION,0.88,43313.115999999995,NO_ACTION,0.88,43313.115999999995,NO_ACTION,0.88,43313.115999999995,NO_ACTION,0.88,43313.115999999995
86,ISSUER_DECLINED,UPI,240933,0.6,NO_ACTION,0.6,50595.92999999999,SWITCH_NETBANKING,0.74,62351.64699999999,SWITCH_NETBANKING,0.74,62351.64699999999,SWITCH_NETBANKING,0.74,62351.64699999999,NO_ACTION,0.6,50595.92999999999,SWITCH_NETBANKING,0.74,62351.64699999999
87,USER_CANCELLED,UPI,120455,0.58,NO_ACTION,0.58,24452.364999999998,SWITCH_NETBANKING,0.52,21872.81,NO_ACTION,0.58,24452.364999999998,NO_ACTION,0.58,24452.364999999998,NO_ACTION,0.58,24452.364999999998,NO_ACTION,0.58,24452.364999999998
88,USER_CANCELLED,CREDIT_CARD,132102,0.88,NO_ACTION,0.88,40687.416,NO_ACTION,0.88,40687.416,NO_ACTION,0.88,40687.416,NO_ACTION,0.88,40687.416,NO_ACTION,0.88,40687.416,NO_ACTION,0.88,40687.416
89,USER_CANCELLED,CREDIT_CARD,368155,0.68,NO_ACTION,0.68,87620.89,NUDGE,0.82,105460.48499999999,NUDGE,0.82,105460.48499999999,NUDGE,0.82,105460.48499999999,NUDGE,0.82,105460.48499999999,NUDGE,0.82,105460.48499999999
90,USER_CANCELLED,UPI,441278,0.52,NO_ACTION,0.52,80312.59599999999,NUDGE,0.64,98646.272,NUDGE,0.64,98646.272,NUDGE,0.64,98646.272,NUDGE,0.64,98646.272,NUDGE,0.64,98646.272
91,INSTRUMENT_UNAVAILABLE,CREDIT_CARD,162265,0.36,NO_ACTION,0.36,20445.39,NUDGE,0.36,20245.39,NUDGE,0.36,20245.39,NUDGE,0.36,20245.39,NUDGE,0.36,20245.39,SWITCH_DEBIT_CARD,0.38,21531.245
92,BANK_OR_PROVIDER_UNAVAILABLE,CREDIT_CARD,100332,0.72,NO_ACTION,0.72,25283.663999999997,NUDGE,0.84,29297.607999999997,NUDGE,0.84,29297.607999999997,NUDGE,0.84,29297.607999999997,NO_ACTION,0.72,25283.663999999997,NUDGE,0.84,29297.607999999997
93,AUTHENTICATION_FAILURE,UPI,153805,0.5,NO_ACTION,0.5,26915.875,NUDGE,0.74,39635.495,NUDGE,0.74,39635.495,NUDGE,0.74,39635.495,NO_ACTION,0.5,26915.875,NUDGE,0.74,39635.495
94,USER_CANCELLED,UPI,88463,0.76,NO_ACTION,0.76,23531.158,SWITCH_NETBANKING,0.76,23481.158,NO_ACTION,0.76,23531.158,NO_ACTION,0.76,23531.158,NO_ACTION,0.76,23531.158,NO_ACTION,0.76,23531.158
