state_id,failure_category,current_method,amount_minor,no_action_probability,NO_ACTION_action,NO_ACTION_recovery_probability,NO_ACTION_merchant_value_minor,BLANKET_NUDGE_action,BLANKET_NUDGE_recovery_probability,BLANKET_NUDGE_merchant_value_minor,RULE_BASED_action,RULE_BASED_recovery_probability,RULE_BASED_merchant_value_minor,S_LEARNER_RECOVERY_MAX_action,S_LEARNER_RECOVERY_MAX_recovery_probability,S_LEARNER_RECOVERY_MAX_merchant_value_minor,ECONOMIC_GOVERNOR_action,ECONOMIC_GOVERNOR_recovery_probability,ECONOMIC_GOVERNOR_merchant_value_minor,ECONOMIC_ORACLE_action,ECONOMIC_ORACLE_recovery_probability,ECONOMIC_ORACLE_merchant_value_minor
11,INSUFFICIENT_FUNDS,UPI,276359,0.46,NO_ACTION,0.46,44493.799,NUDGE,0.46,44293.799,SWITCH_DEBIT_CARD,0.5,48312.825,SWITCH_DEBIT_CARD,0.5,48312.825,SWITCH_DEBIT_CARD,0.5,48312.825,SWITCH_DEBIT_CARD,0.5,48312.825
12,AUTHENTICATION_FAILURE,CREDIT_CARD,86951,0.6,NO_ACTION,0.6,18259.71,NO_ACTION,0.6,18259.71,NO_ACTION,0.6,18259.71,SWITCH_UPI,0.68,20644.338,SWITCH_UPI,0.68,20644.338,SWITCH_UPI,0.68,20644.338
13,INSUFFICIENT_FUNDS,UPI,45901,0.36,NO_ACTION,0.36,5783.525999999999,NO_ACTION,0.36,5783.525999999999,NO_ACTION,0.36,5783.525999999999,SWITCH_DEBIT_CARD,0.5,7982.674999999999,SWITCH_DEBIT_CARD,0.5,7982.674999999999,SWITCH_CREDIT_CARD,0.5,7982.674999999999
14,ISSUER_DECLINED,CREDIT_CARD,418803,0.3,NO_ACTION,0.3,43974.314999999995,NO_ACTION,0.3,43974.314999999995,NO_ACTION,0.3,43974.314999999995,SWITCH_UPI,0.32,46855.935999999994,SWITCH_UPI,0.32,46855.935999999994,SWITCH_NETBANKING,0.34,49787.557
15,INSUFFICIENT_FUNDS,UPI,500772,0.48,NO_ACTION,0.48,84129.69599999998,NUDGE,0.58,101456.71599999999,SWITCH_NETBANKING,0.58,101606.71599999999,SWITCH_NETBANKING,0.58,101606.71599999999,SWITCH_NETBANKING,0.58,101606.71599999999,SWITCH_NETBANKING,0.58,101606.71599999999
16,USER_CANCELLED,UPI,126916,0.5,NO_ACTION,0.5,22210.3,NO_ACTION,0.5,22210.3,NO_ACTION,0.5,22210.3,OFFER_5,0.5,19037.399999999998,NO_ACTION,0.5,22210.3,NO_ACTION,0.5,22210.3
17,ISSUER_DECLINED,NETBANKING,331717,0.6,NO_ACTION,0.6,69660.56999999999,NO_ACTION,0.6,69660.56999999999,NO_ACTION,0.6,69660.56999999999,SWITCH_DEBIT_CARD,0.6,69610.56999999999,SWITCH_DEBIT_CARD,0.6,69610.56999999999,NO_ACTION,0.6,69660.56999999999
18,USER_CANCELLED,UPI,264782,0.66,NO_ACTION,0.66,61164.642,NO_ACTION,0.66,61164.642,NO_ACTION,0.66,61164.642,OFFER_5,0.66,52426.835999999996,SWITCH_DEBIT_CARD,0.64,59261.168,NO_ACTION,0.66,61164.642
19,USER_CANCELLED,UPI,70534,0.6,NO_ACTION,0.6,14812.139999999998,NO_ACTION,0.6,14812.139999999998,NO_ACTION,0.6,14812.139999999998,OFFER_5,0.6,12696.119999999997,NO_ACTION,0.6,14812.139999999998,NO_ACTION,0.6,14812.139999999998
20,INSUFFICIENT_FUNDS,UPI,93095,0.58,NO_ACTION,0.58,18898.284999999996,NO_ACTION,0.58,18898.284999999996,NO_ACTION,0.58,18898.284999999996,SWITCH_DEBIT_CARD,0.66,21454.945,SWITCH_DEBIT_CARD,0.66,21454.945,SWITCH_NETBANKING,0.68,22106.61
21,AUTHENTICATION_FAILURE,UPI,139875,0.68,NO_ACTION,0.68,33290.25,NUDGE,0.76,37006.75,NO_ACTION,0.68,33290.25,NUDGE,0.76,37006.75,NUDGE,0.76,37006.75,NUDGE,0.76,37006.75
22,AUTHENTICATION_FAILURE,UPI,177592,0.6,NO_ACTION,0.6,37294.32,NO_ACTION,0.6,37294.32,NO_ACTION,0.6,37294.32,OFFER_5,0.6,31966.559999999998,SWITCH_CREDIT_CARD,0.74,45946.327999999994,SWITCH_CREDIT_CARD,0.74,45946.327999999994
23,TECHNICAL_FAILURE,CREDIT_CARD,307322,0.6,NO_ACTION,0.6,64537.619999999995,NUDGE,0.54,57883.858,SWITCH_UPI,0.58,62336.365999999995,NUDGE,0.54,57883.858,NUDGE,0.54,57883.858,NO_ACTION,0.6,64537.619999999995
24,INSUFFICIENT_FUNDS,UPI,52666,0.32,NO_ACTION,0.32,5898.592,NO_ACTION,0.32,5898.592,NO_ACTION,0.32,5898.592,SWITCH_NETBANKING,0.44,8060.563999999999,SWITCH_NETBANKING,0.44,8060.563999999999,SWITCH_NETBANKING,0.44,8060.563999999999
25,INSUFFICIENT_FUNDS,UPI,234972,0.36,NO_ACTION,0.36,29606.471999999998,NO_ACTION,0.36,29606.471999999998,NO_ACTION,0.36,29606.471999999998,SWITCH_DEBIT_CARD,0.54,44359.708,SWITCH_DEBIT_CARD,0.54,44359.708,SWITCH_DEBIT_CARD,0.54,44359.708
26,USER_CANCELLED,UPI,193919,0.78,NO_ACTION,0.78,52939.886999999995,NO_ACTION,0.78,52939.886999999995,NO_ACTION,0.78,52939.886999999995,OFFER_5,0.8,46540.56,SWITCH_DEBIT_CARD,0.76,51532.454,NO_ACTION,0.78,52939.886999999995
27,AUTHENTICATION_FAILURE,UPI,84013,0.68,NO_ACTION,0.68,19995.094,NUDGE,0.76,22147.458,NO_ACTION,0.68,19995.094,NUDGE,0.76,22147.458,NUDGE,0.76,22147.458,SWITCH_DEBIT_CARD,0.76,22297.458
28,INSUFFICIENT_FUNDS,UPI,143574,0.46,NO_ACTION,0.46,23115.413999999997,NO_ACTION,0.46,23115.413999999997,SWITCH_DEBIT_CARD,0.54,27085.485999999997,SWITCH_DEBIT_CARD,0.54,27085.485999999997,SWITCH_DEBIT_CARD,0.54,27085.485999999997,SWITCH_CREDIT_CARD,0.56,28090.504
29,USER_CANCELLED,UPI,195417,0.52,NO_ACTION,0.52,35565.894,NUDGE,0.58,39469.651,NUDGE,0.58,39469.651,NUDGE,0.58,39469.651,NUDGE,0.58,39469.651,NUDGE,0.58,39469.651
30,AUTHENTICATION_FAILURE,UPI,155294,0.8,NO_ACTION,0.8,43482.32,NO_ACTION,0.8,43482.32,NO_ACTION,0.8,43482.32,SWITCH_DEBIT_CARD,0.76,41258.204,SWITCH_DEBIT_CARD,0.76,41258.204,NO_ACTION,0.8,43482.32
31,USER_CANCELLED,UPI,229487,0.56,NO_ACTION,0.56,44979.452000000005,NO_ACTION,0.56,44979.452000000005,NO_ACTION,0.56,44979.452000000005,NO_ACTION,0.56,44979.452000000005,NO_ACTION,0.56,44979.452000000005,SWITCH_DEBIT_CARD,0.58,46535.861
32,USER_CANCELLED,UPI,136453,0.6,NO_ACTION,0.6,28655.129999999997,NO_ACTION,0.6,28655.129999999997,NO_ACTION,0.6,28655.129999999997,NO_ACTION,0.6,28655.129999999997,NO_ACTION,0.6,28655.129999999997,NO_ACTION,0.6,28655.129999999997
33,AUTHENTICATION_FAILURE,UPI,72776,0.72,NO_ACTION,0.72,18339.552,NUDGE,0.88,22215.007999999998,NO_ACTION,0.72,18339.552,NUDGE,0.88,22215.007999999998,NUDGE,0.88,22215.007999999998,NUDGE,0.88,22215.007999999998
34,USER_CANCELLED,DEBIT_CARD,157895,0.5,NO_ACTION,0.5,27631.625,NO_ACTION,0.5,27631.625,NO_ACTION,0.5,27631.625,OFFER_10,0.5,19736.875,NO_ACTION,0.5,27631.625,NO_ACTION,0.5,27631.625
35,TECHNICAL_FAILURE,UPI,116641,0.64,NO_ACTION,0.64,26127.584,NUDGE,0.7,28377.045,SWITCH_DEBIT_CARD,0.62,25261.096999999998,NUDGE,0.7,28377.045,NUDGE,0.7,28377.045,NUDGE,0.7,28377.045
36,USER_CANCELLED,UPI,203365,0.52,NO_ACTION,0.52,37012.43,NO_ACTION,0.52,37012.43,NO_ACTION,0.52,37012.43,OFFER_10,0.52,26437.45,NO_ACTION,0.52,37012.43,SWITCH_NETBANKING,0.54,38385.985
37,ISSUER_DECLINED,UPI,168994,0.52,NO_ACTION,0.52,30756.908,NO_ACTION,0.52,30756.908,NO_ACTION,0.52,30756.908,OFFER_5,0.52,26363.064,SWITCH_DEBIT_CARD,0.46,27158.034,NO_ACTION,0.52,30756.908
38,USER_CANCELLED,UPI,247430,0.42,NO_ACTION,0.42,36372.21,NUDGE,0.58,50028.28999999999,NO_ACTION,0.42,36372.21,NUDGE,0.58,50028.28999999999,SWITCH_CREDIT_CARD,0.44,38054.22,NUDGE,0.58,50028.28999999999
39,USER_CANCELLED,UPI,146195,0.76,NO_ACTION,0.76,38887.87,NO_ACTION,0.76,38887.87,NO_ACTION,0.76,38887.87,OFFER_5,0.76,33332.46,NO_ACTION,0.76,38887.87,NO_ACTION,0.76,38887.87
40,USER_CANCELLED,UPI,215076,0.62,NO_ACTION,0.62,46671.49199999999,NO_ACTION,0.62,46671.49199999999,NO_ACTION,0.62,46671.49199999999,NO_ACTION,0.62,46671.49199999999,NO_ACTION,0.62,46671.49199999999,SWITCH_NETBANKING,0.66,49632.556
41,INSTRUMENT_UNAVAILABLE,CREDIT_CARD,79313,0.42,NO_ACTION,0.42,11659.010999999999,NO_ACTION,0.42,11659.010999999999,SWITCH_UPI,0.48,13274.583999999999,SWITCH_DEBIT_CARD,0.48,13274.583999999999,SWITCH_DEBIT_CARD,0.48,13274.583999999999,SWITCH_NETBANKING,0.56,15495.348000000002
42,ISSUER_DECLINED,UPI,100471,0.74,NO_ACTION,0.74,26021.988999999998,NO_ACTION,0.74,26021.988999999998,NO_ACTION,0.74,26021.988999999998,OFFER_5,0.74,22304.561999999998,NO_ACTION,0.74,26021.988999999998,NO_ACTION,0.74,26021.988999999998
43,USER_CANCELLED,UPI,97059,0.64,NO_ACTION,0.64,21741.216,NUDGE,0.66,22220.629,NUDGE,0.66,22220.629,NUDGE,0.66,22220.629,NUDGE,0.66,22220.629,NUDGE,0.66,22220.629
44,TECHNICAL_FAILURE,UPI,292785,0.68,NO_ACTION,0.68,69682.83,NO_ACTION,0.68,69682.83,SWITCH_DEBIT_CARD,0.68,69632.83,NO_ACTION,0.68,69682.83,NO_ACTION,0.68,69682.83,NO_ACTION,0.68,69682.83
45,USER_CANCELLED,UPI,130858,0.7,NO_ACTION,0.7,32060.209999999995,NUDGE,0.82,37356.24599999999,NUDGE,0.82,37356.24599999999,NUDGE,0.82,37356.24599999999,SWITCH_NETBANKING,0.72,32926.21599999999,NUDGE,0.82,37356.24599999999
46,RISK_DECLINED,CREDIT_CARD,107478,0.42,NO_ACTION,0.42,15799.265999999998,NO_ACTION,0.42,15799.265999999998,NO_ACTION,0.42,15799.265999999998,SWITCH_DEBIT_CARD,0.58,21768.033999999996,SWITCH_DEBIT_CARD,0.58,21768.033999999996,SWITCH_UPI,0.58,21768.033999999996
47,USER_CANCELLED,DEBIT_CARD,77466,0.58,NO_ACTION,0.58,15725.597999999998,NO_ACTION,0.58,15725.597999999998,NO_ACTION,0.58,15725.597999999998,NO_ACTION,0.58,15725.597999999998,NO_ACTION,0.58,15725.597999999998,NO_ACTION,0.58,15725.597999999998
48,ISSUER_DECLINED,UPI,64390,0.66,NO_ACTION,0.66,14874.09,NUDGE,0.7,15575.55,NUDGE,0.7,15575.55,SWITCH_CREDIT_CARD,0.62,13922.63,NO_ACTION,0.66,14874.09,NUDGE,0.7,15575.55
49,ISSUER_DECLINED,UPI,74197,0.62,NO_ACTION,0.62,16100.748999999998,NO_ACTION,0.62,16100.748999999998,NO_ACTION,0.62,16100.748999999998,SWITCH_DEBIT_CARD,0.62,16050.748999999998,SWITCH_DEBIT_CARD,0.62,16050.748999999998,NO_ACTION,0.62,16100.748999999998
50,AUTHENTICATION_FAILURE,UPI,115205,0.62,NO_ACTION,0.62,24999.485,NO_ACTION,0.62,24999.485,NO_ACTION,0.62,24999.485,SWITCH_DEBIT_CARD,0.64,25755.920000000002,SWITCH_DEBIT_CARD,0.64,25755.920000000002,SWITCH_DEBIT_CARD,0.64,25755.920000000002
51,ISSUER_DECLINED,UPI,389783,0.72,NO_ACTION,0.72,98225.31599999999,NO_ACTION,0.72,98225.31599999999,NO_ACTION,0.72,98225.31599999999,NO_ACTION,0.72,98225.31599999999,NO_ACTION,0.72,98225.31599999999,SWITCH_NETBANKING,0.78,106360.75899999999
52,TECHNICAL_FAILURE,NETBANKING,277173,0.78,NO_ACTION,0.78,75668.22899999999,NO_ACTION,0.78,75668.22899999999,NO_ACTION,0.78,75668.22899999999,OFFER_5,0.78,64858.481999999996,NO_ACTION,0.78,75668.22899999999,SWITCH_UPI,0.8,77558.43999999999
53,AUTHENTICATION_FAILURE,UPI,287502,0.9,NO_ACTION,0.9,90563.13,NUDGE,0.88,88350.616,NO_ACTION,0.9,90563.13,NUDGE,0.88,88350.616,NUDGE,0.88,88350.616,NO_ACTION,0.9,90563.13
54,AUTHENTICATION_FAILURE,UPI,158278,0.82,NO_ACTION,0.82,45425.78599999999,NO_ACTION,0.82,45425.78599999999,NO_ACTION,0.82,45425.78599999999,OFFER_5,0.82,38936.38799999999,SWITCH_DEBIT_CARD,0.8,44267.84,NO_ACTION,0.82,45425.78599999999
55,AUTHENTICATION_FAILURE,NETBANKING,222803,0.78,NO_ACTION,0.78,60825.21899999999,NO_ACTION,0.78,60825.21899999999,NO_ACTION,0.78,60825.21899999999,NO_ACTION,0.78,60825.21899999999,NO_ACTION,0.78,60825.21899999999,SWITCH_UPI,0.86,67013.703
56,ISSUER_DECLINED,UPI,134910,0.58,NO_ACTION,0.58,27386.73,NO_ACTION,0.58,27386.73,NO_ACTION,0.58,27386.73,OFFER_5,0.58,23474.34,NO_ACTION,0.58,27386.73,NO_ACTION,0.58,27386.73
57,USER_CANCELLED,UPI,113145,0.58,NO_ACTION,0.58,22968.434999999998,NUDGE,0.64,25144.48,NUDGE,0.64,25144.48,NUDGE,0.64,25144.48,NUDGE,0.64,25144.48,NUDGE,0.64,25144.48
58,INSUFFICIENT_FUNDS,UPI,159330,0.3,NO_ACTION,0.3,16729.649999999998,NUDGE,0.26,14299.03,NUDGE,0.26,14299.03,NUDGE,0.26,14299.03,NUDGE,0.26,14299.03,NO_ACTION,0.3,16729.649999999998
59,USER_CANCELLED,UPI,82825,0.64,NO_ACTION,0.64,18552.8,NUDGE,0.64,18352.8,NO_ACTION,0.64,18552.8,NUDGE,0.64,18352.8,NUDGE,0.64,18352.8,NO_ACTION,0.64,18552.8
60,USER_CANCELLED,UPI,73608,0.66,NO_ACTION,0.66,17003.448,NUDGE,0.76,19379.728,NUDGE,0.76,19379.728,NUDGE,0.76,19379.728,NUDGE,0.76,19379.728,NUDGE,0.76,19379.728
61,USER_CANCELLED,UPI,584580,0.66,NO_ACTION,0.66,135037.98,NO_ACTION,0.66,135037.98,NO_ACTION,0.66,135037.98,NO_ACTION,0.66,135037.98,NO_ACTION,0.66,135037.98,NO_ACTION,0.66,135037.98
62,INSUFFICIENT_FUNDS,CREDIT_CARD,44758,0.38,NO_ACTION,0.38,5952.813999999999,NUDGE,0.6,9199.179999999998,SWITCH_UPI,0.6,9349.179999999998,SWITCH_DEBIT_CARD,0.54,8409.262,SWITCH_DEBIT_CARD,0.54,8409.262,SWITCH_UPI,0.6,9349.179999999998
63,INSUFFICIENT_FUNDS,CREDIT_CARD,80247,0.46,NO_ACTION,0.46,12919.767,NUDGE,0.58,16090.140999999998,SWITCH_UPI,0.64,17925.327999999998,SWITCH_DEBIT_CARD,0.56,15678.412,SWITCH_DEBIT_CARD,0.56,15678.412,SWITCH_UPI,0.64,17925.327999999998
64,INSUFFICIENT_FUNDS,UPI,53978,0.4,NO_ACTION,0.4,7556.92,NO_ACTION,0.4,7556.92,NO_ACTION,0.4,7556.92,SWITCH_CREDIT_CARD,0.52,9773.996,SWITCH_CREDIT_CARD,0.52,9773.996,SWITCH_CREDIT_CARD,0.52,9773.996
65,USER_CANCELLED,UPI,91596,0.72,NO_ACTION,0.72,23082.192,NUDGE,0.8,25446.88,NUDGE,0.8,25446.88,NUDGE,0.8,25446.88,NUDGE,0.8,25446.88,NUDGE,0.8,25446.88
66,INSUFFICIENT_FUNDS,UPI,155531,0.6,NO_ACTION,0.6,32661.51,NO_ACTION,0.6,32661.51,NO_ACTION,0.6,32661.51,OFFER_5,0.6,27995.579999999998,SWITCH_DEBIT_CARD,0.6,32611.51,NO_ACTION,0.6,32661.51
67,TECHNICAL_FAILURE,CREDIT_CARD,262095,0.72,NO_ACTION,0.72,66047.94,NUDGE,0.8,73186.6,SWITCH_UPI,0.68,62328.61000000001,NUDGE,0.8,73186.6,NUDGE,0.8,73186.6,NUDGE,0.8,73186.6
68,ISSUER_DECLINED,CREDIT_CARD,141156,0.66,NO_ACTION,0.66,32607.036,NO_ACTION,0.66,32607.036,NO_ACTION,0.66,32607.036,OFFER_5,0.68,28795.824,SWITCH_DEBIT_CARD,0.74,36509.403999999995,SWITCH_UPI,0.8,39473.68
69,AUTHENTICATION_FAILURE,DEBIT_CARD,392856,0.82,NO_ACTION,0.82,112749.67199999999,NUDGE,0.76,104299.69600000001,NO_ACTION,0.82,112749.67199999999,NUDGE,0.76,104299.69600000001,NUDGE,0.76,104299.69600000001,SWITCH_UPI,0.84,115449.664
70,INSTRUMENT_UNAVAILABLE,CREDIT_CARD,133967,0.16,NO_ACTION,0.16,7502.152,NO_ACTION,0.16,7502.152,SWITCH_UPI,0.2,9327.69,SWITCH_UPI,0.2,9327.69,SWITCH_UPI,0.2,9327.69,SWITCH_UPI,0.2,9327.69
71,AUTHENTICATION_FAILURE,UPI,119509,0.68,NO_ACTION,0.68,28443.142,NO_ACTION,0.68,28443.142,NO_ACTION,0.68,28443.142,SWITCH_DEBIT_CARD,0.68,28393.142,SWITCH_DEBIT_CARD,0.68,28393.142,NO_ACTION,0.68,28443.142
72,INSUFFICIENT_FUNDS,UPI,109335,0.38,NO_ACTION,0.38,14541.555,NO_ACTION,0.38,14541.555,NO_ACTION,0.38,14541.555,OFFER_5,0.38,12464.19,SWITCH_DEBIT_CARD,0.54,20614.315000000002,SWITCH_DEBIT_CARD,0.54,20614.315000000002
73,INSUFFICIENT_FUNDS,UPI,150854,0.46,NO_ACTION,0.46,24287.494,NO_ACTION,0.46,24287.494,NO_ACTION,0.46,24287.494,SWITCH_DEBIT_CARD,0.54,28461.406,SWITCH_DEBIT_CARD,0.54,28461.406,SWITCH_NETBANKING,0.56,29517.384
74,BANK_OR_PROVIDER_UNAVAILABLE,UPI,129650,0.74,NO_ACTION,0.74,33579.35,NO_ACTION,0.74,33579.35,SWITCH_CREDIT_CARD,0.74,33529.35,SWITCH_CREDIT_CARD,0.74,33529.35,SWITCH_CREDIT_CARD,0.74,33529.35,NO_ACTION,0.74,33579.35
75,ISSUER_DECLINED,UPI,62185,0.5,NO_ACTION,0.5,10882.375,NO_ACTION,0.5,10882.375,NO_ACTION,0.5,10882.375,SWITCH_DEBIT_CARD,0.56,12138.260000000002,SWITCH_DEBIT_CARD,0.56,12138.260000000002,SWITCH_DEBIT_CARD,0.56,12138.260000000002
76,ISSUER_DECLINED,NETBANKING,160353,0.72,NO_ACTION,0.72,40408.956,NO_ACTION,0.72,40408.956,NO_ACTION,0.72,40408.956,SWITCH_DEBIT_CARD,0.8,44848.84,SWITCH_DEBIT_CARD,0.8,44848.84,SWITCH_UPI,0.8,44848.84
77,AUTHENTICATION_FAILURE,UPI,46029,0.74,NO_ACTION,0.74,11921.511,NO_ACTION,0.74,11921.511,NO_ACTION,0.74,11921.511,OFFER_5,0.74,10218.438,SWITCH_CREDIT_CARD,0.76,12193.714,SWITCH_NETBANKING,0.78,12515.917
78,USER_CANCELLED,UPI,45230,0.78,NO_ACTION,0.78,12347.789999999999,NO_ACTION,0.78,12347.789999999999,NO_ACTION,0.78,12347.789999999999,OFFER_5,0.78,10583.82,NO_ACTION,0.78,12347.789999999999,NO_ACTION,0.78,12347.789999999999
79,INSUFFICIENT_FUNDS,CREDIT_CARD,97052,0.46,NO_ACTION,0.46,15625.372,NO_ACTION,0.46,15625.372,NO_ACTION,0.46,15625.372,SWITCH_DEBIT_CARD,0.58,19651.555999999997,SWITCH_DEBIT_CARD,0.58,19651.555999999997,SWITCH_UPI,0.58,19651.555999999997
80,USER_CANCELLED,CREDIT_CARD,316205,0.76,NO_ACTION,0.76,84110.53,NUDGE,0.74,81697.095,NUDGE,0.74,81697.095,NUDGE,0.74,81697.095,NUDGE,0.74,81697.095,NO_ACTION,0.76,84110.53
81,AUTHENTICATION_FAILURE,NETBANKING,62777,0.74,NO_ACTION,0.74,16259.242999999997,NO_ACTION,0.74,16259.242999999997,NO_ACTION,0.74,16259.242999999997,SWITCH_UPI,0.76,16648.681999999997,SWITCH_UPI,0.76,16648.681999999997,SWITCH_UPI,0.76,16648.681999999997
82,ISSUER_DECLINED,UPI,66854,0.56,NO_ACTION,0.56,13103.384,NO_ACTION,0.56,13103.384,NO_ACTION,0.56,13103.384,NO_ACTION,0.56,13103.384,NO_ACTION,0.56,13103.384,SWITCH_NETBANKING,0.64,14925.295999999998
83,AUTHENTICATION_FAILURE,UPI,42520,0.64,NO_ACTION,0.64,9524.48,NUDGE,0.78,11407.96,NO_ACTION,0.64,9524.48,NUDGE,0.78,11407.96,NUDGE,0.78,11407.96,NUDGE,0.78,11407.96
84,AUTHENTICATION_FAILURE,UPI,45537,0.76,NO_ACTION,0.76,12112.841999999999,NUDGE,0.84,13187.877999999999,NO_ACTION,0.76,12112.841999999999,NUDGE,0.84,13187.877999999999,NUDGE,0.84,13187.877999999999,NUDGE,0.84,13187.877999999999
85,TECHNICAL_FAILURE,UPI,60892,0.74,NO_ACTION,0.74,15771.027999999998,NUDGE,0.72,15144.783999999998,SWITCH_NETBANKING,0.72,15294.783999999998,NUDGE,0.72,15144.783999999998,NUDGE,0.72,15144.783999999998,NO_ACTION,0.74,15771.027999999998
86,AUTHENTICATION_FAILURE,UPI,87780,0.74,NO_ACTION,0.74,22735.019999999997,NO_ACTION,0.74,22735.019999999997,NO_ACTION,0.74,22735.019999999997,OFFER_5,0.74,19487.159999999996,SWITCH_DEBIT_CARD,0.82,25142.859999999997,SWITCH_NETBANKING,0.84,25757.319999999996
87,TECHNICAL_FAILURE,UPI,77394,0.82,NO_ACTION,0.82,22212.077999999998,NO_ACTION,0.82,22212.077999999998,NO_ACTION,0.82,22212.077999999998,OFFER_5,0.82,19038.923999999995,NO_ACTION,0.82,22212.077999999998,NO_ACTION,0.82,22212.077999999998
88,AUTHENTICATION_FAILURE,UPI,140627,0.8,NO_ACTION,0.8,39375.56,NO_ACTION,0.8,39375.56,NO_ACTION,0.8,39375.56,SWITCH_DEBIT_CARD,0.88,43263.115999999995,SWITCH_DEBIT_CARD,0.88,43263.115999999995,SWITCH_DEBIT_CARD,0.88,43263.115999999995
89,ISSUER_DECLINED,UPI,240933,0.56,NO_ACTION,0.56,47222.867999999995,NO_ACTION,0.56,47222.867999999995,NO_ACTION,0.56,47222.867999999995,SWITCH_DEBIT_CARD,0.64,53918.99199999999,SWITCH_DEBIT_CARD,0.64,53918.99199999999,SWITCH_DEBIT_CARD,0.64,53918.99199999999
90,USER_CANCELLED,UPI,120455,0.66,NO_ACTION,0.66,27825.105,NO_ACTION,0.66,27825.105,NO_ACTION,0.66,27825.105,NO_ACTION,0.66,27825.105,NO_ACTION,0.66,27825.105,NO_ACTION,0.66,27825.105
91,USER_CANCELLED,CREDIT_CARD,132102,0.7,NO_ACTION,0.7,32364.989999999994,NO_ACTION,0.7,32364.989999999994,NO_ACTION,0.7,32364.989999999994,NO_ACTION,0.7,32364.989999999994,NO_ACTION,0.7,32364.989999999994,SWITCH_UPI,0.74,34164.418
92,USER_CANCELLED,CREDIT_CARD,368155,0.68,NO_ACTION,0.68,87620.89,NUDGE,0.84,108037.56999999998,NO_ACTION,0.68,87620.89,NUDGE,0.84,108037.56999999998,NUDGE,0.84,108037.56999999998,NUDGE,0.84,108037.56999999998
