decision_id,customer_id,order_id,prediction_time,customer_tenure_days,prior_checkout_count,prior_success_count,prior_failure_count,prior_success_rate,prior_upi_count,prior_credit_card_count,prior_debit_card_count,prior_netbanking_count,available_upi,available_credit_card,available_debit_card,available_netbanking,current_amount_minor,amount_ratio,current_method,failure_category,attempt_count,observed_rail_health,contact_consent,customer_active,treatment,action_type,target_method,discount_percent,behavior_policy_probability,recovered,final_attempt_count,final_payment_status
D0000011,C000068,C000068_O0002,2026-06-01T11:17:32.413531+00:00,134,1,1,0,1.0,0,1,0,0,1,1,1,0,98160,0.8539513519156489,UPI,USER_CANCELLED,1,1.0,1,1,SWITCH_CREDIT_CARD,SWITCH_METHOD,CREDIT_CARD,,0.18803981295913363,1,2,CAPTURED
D0000012,C000068,C000068_O0003,2026-06-22T08:56:09.652292+00:00,134,2,2,0,1.0,1,1,0,0,1,1,1,0,89525,0.7788304276716428,UPI,ISSUER_DECLINED,1,1.0,1,1,SWITCH_CREDIT_CARD,SWITCH_METHOD,CREDIT_CARD,,0.17065746885967883,1,2,CAPTURED
D0000013,C000070,C000070_O0007,2026-05-15T12:07:01.244727+00:00,250,6,6,0,1.0,2,4,0,0,1,1,0,1,255545,1.1082704484343828,CREDIT_CARD,AUTHENTICATION_FAILURE,1,0.9826290446603181,1,1,SWITCH_UPI,SWITCH_METHOD,UPI,,0.08416851674344819,1,2,CAPTURED
D0000014,C000070,C000070_O0009,2026-06-04T01:22:38.001108+00:00,250,8,8,0,1.0,3,5,0,0,1,1,0,1,287554,1.247089947089947,CREDIT_CARD,TECHNICAL_FAILURE,1,0.9659029791193007,1,1,SWITCH_UPI,SWITCH_METHOD,UPI,,0.29833263324362386,0,1,FAILED
D0000015,C000082,C000082_O0003,2025-12-24T10:12:38.979133+00:00,309,2,2,0,1.0,2,0,0,0,1,1,1,0,139954,1.0097618343301997,UPI,ISSUER_DECLINED,1,0.900940803271281,0,0,OFFER_5,APPROVED_OFFER,,5.0,0.12871215632451052,1,3,CAPTURED
D0000016,C000082,C000082_O0005,2026-04-29T22:13:58.245456+00:00,309,4,4,0,1.0,4,0,0,0,1,1,1,0,167903,1.2114126160705911,CREDIT_CARD,USER_CANCELLED,1,1.0,0,1,NO_ACTION,NO_ACTION,,,0.47035926411121837,0,1,FAILED
D0000017,C000086,C000086_O0003,2025-08-21T07:50:40.841816+00:00,532,2,2,0,1.0,1,1,0,0,1,1,1,1,108717,0.8810129659643436,UPI,USER_CANCELLED,1,0.993971558019155,1,0,OFFER_5,APPROVED_OFFER,,5.0,0.07920343731348123,1,2,CAPTURED
D0000018,C000086,C000086_O0008,2026-01-07T14:52:41.506375+00:00,532,7,7,0,1.0,5,2,0,0,1,1,1,1,151930,1.2311993517017827,NETBANKING,USER_CANCELLED,1,0.9466164941246453,1,0,SWITCH_UPI,SWITCH_METHOD,UPI,,0.13370853484734976,0,1,FAILED
D0000019,C000086,C000086_O0012,2026-04-05T00:10:29.621574+00:00,532,11,10,1,0.9090909090909091,8,2,0,1,1,1,1,1,148079,1.1999918962722853,UPI,USER_CANCELLED,1,1.0,1,0,SWITCH_CREDIT_CARD,SWITCH_METHOD,CREDIT_CARD,,0.12208727681041423,0,1,FAILED
D0000020,C000087,C000087_O0007,2026-01-29T01:46:39.206388+00:00,398,6,6,0,1.0,3,1,2,0,1,1,1,0,291480,1.0208777699557647,CREDIT_CARD,ISSUER_DECLINED,1,1.0,1,1,NO_ACTION,NO_ACTION,,,0.47469823827150415,1,2,CAPTURED
D0000021,C000094,C000094_O0003,2025-12-14T06:35:01.334197+00:00,305,2,2,0,1.0,2,0,0,0,1,0,0,0,99523,0.7481469787861019,UPI,TECHNICAL_FAILURE,1,0.5334867716652365,1,1,OFFER_10,APPROVED_OFFER,,10.0,0.13667014926271354,1,2,CAPTURED
D0000022,C000119,C000119_O0004,2025-10-17T19:45:51.792866+00:00,624,3,3,0,1.0,3,0,0,0,1,0,1,1,1122813,1.034062516404547,UPI,USER_CANCELLED,1,1.0,0,0,NO_ACTION,NO_ACTION,,,0.3849158903980525,1,2,CAPTURED
D0000023,C000127,C000127_O0009,2025-09-24T18:12:02.366049+00:00,852,8,8,0,1.0,5,2,1,0,1,1,1,1,247009,0.7288250116548741,UPI,USER_CANCELLED,1,0.8557864747057367,1,1,SWITCH_DEBIT_CARD,SWITCH_METHOD,DEBIT_CARD,,0.13623054678712362,1,2,CAPTURED
D0000024,C000127,C000127_O0012,2025-11-12T06:00:55.427732+00:00,852,11,11,0,1.0,6,4,1,0,1,1,1,1,200704,0.5921974306166166,NETBANKING,USER_CANCELLED,1,0.9819533967475892,1,0,OFFER_5,APPROVED_OFFER,,5.0,0.07814997274383138,1,3,CAPTURED
D0000025,C000137,C000137_O0011,2026-02-05T16:23:44.174794+00:00,763,10,10,0,1.0,5,3,2,0,1,1,1,1,124670,1.086250010891253,DEBIT_CARD,TECHNICAL_FAILURE,1,0.4613563521079222,1,0,SWITCH_NETBANKING,SWITCH_METHOD,NETBANKING,,0.21901914977315007,1,2,CAPTURED
D0000026,C000140,C000140_O0015,2025-08-10T19:44:07.530173+00:00,638,14,14,0,1.0,11,0,2,1,1,0,1,1,63336,0.730350553505535,UPI,INSUFFICIENT_FUNDS,1,0.9083864562629244,1,1,NO_ACTION,NO_ACTION,,,0.3037041102488571,0,1,FAILED
D0000027,C000146,C000146_O0006,2026-05-27T04:12:38.062679+00:00,363,5,5,0,1.0,4,0,1,0,1,0,1,1,91800,0.9129332206255283,UPI,ISSUER_DECLINED,1,0.8719589667602012,1,1,NO_ACTION,NO_ACTION,,,0.4865484386587621,1,2,CAPTURED
D0000028,C000146,C000146_O0009,2026-07-25T19:16:07.880340+00:00,363,8,8,0,1.0,7,0,1,0,1,0,1,1,87143,0.8666202575704838,UPI,INSUFFICIENT_FUNDS,1,0.8679525386799841,1,0,SWITCH_NETBANKING,SWITCH_METHOD,NETBANKING,,0.2500382527236839,1,3,CAPTURED
D0000029,C000148,C000148_O0004,2025-04-24T17:32:24.139082+00:00,609,3,3,0,1.0,3,0,0,0,1,1,1,1,198080,0.9494001543350412,UPI,AUTHENTICATION_FAILURE,1,0.9727953810412804,1,1,NO_ACTION,NO_ACTION,,,0.6470622390838089,1,2,CAPTURED
D0000030,C000156,C000156_O0011,2026-03-25T15:20:33.094854+00:00,547,10,10,0,1.0,9,0,1,0,1,0,1,1,206918,1.041374555227306,UPI,ISSUER_DECLINED,1,0.49885067452982534,1,0,NUDGE,NUDGE,,,0.26307029342975624,0,2,FAILED
D0000031,C000157,C000157_O0008,2025-12-24T20:07:36.808450+00:00,443,7,7,0,1.0,4,2,1,0,1,1,1,1,252898,2.3825710113523955,CREDIT_CARD,USER_CANCELLED,1,0.9539659225071201,0,1,NO_ACTION,NO_ACTION,,,0.3376470643400891,0,2,FAILED
D0000032,C000157,C000157_O0009,2026-01-08T10:34:38.176627+00:00,443,8,7,1,0.875,4,3,1,0,1,1,1,1,91176,0.8589759291535164,UPI,AUTHENTICATION_FAILURE,1,0.9793046132810732,0,1,NO_ACTION,NO_ACTION,,,0.6415123933296603,0,1,FAILED
D0000033,C000158,C000158_O0005,2026-04-12T02:25:02.051044+00:00,380,4,4,0,1.0,4,0,0,0,1,0,1,1,256571,1.1034599918284842,DEBIT_CARD,INSUFFICIENT_FUNDS,1,0.9668531638099159,1,1,SWITCH_NETBANKING,SWITCH_METHOD,NETBANKING,,0.25971240992817446,1,2,CAPTURED
D0000034,C000167,C000167_O0008,2026-06-05T03:22:33.940223+00:00,394,7,7,0,1.0,7,0,0,0,1,0,0,1,158541,1.0708756619474764,UPI,ISSUER_DECLINED,1,0.9413544352027977,1,1,NO_ACTION,NO_ACTION,,,0.5790334925912509,0,1,FAILED
D0000035,C000173,C000173_O0001,2025-07-24T19:51:19.203237+00:00,520,0,0,0,0.0,0,0,0,0,1,1,1,1,57739,1.0703904193392904,UPI,USER_CANCELLED,1,0.9298463462931441,1,1,SWITCH_CREDIT_CARD,SWITCH_METHOD,CREDIT_CARD,,0.13387204672606576,1,2,CAPTURED
D0000036,C000173,C000173_O0019,2026-08-10T22:20:45.528239+00:00,520,18,18,0,1.0,7,9,1,1,1,1,1,1,85326,1.5818100923213823,UPI,USER_CANCELLED,1,0.9656710600470775,1,0,NUDGE,NUDGE,,,0.27614810185026817,1,2,CAPTURED
D0000037,C000176,C000176_O0003,2026-07-11T06:43:55.406495+00:00,148,2,2,0,1.0,2,0,0,0,1,1,1,1,245348,1.3284170402616247,UPI,USER_CANCELLED,1,0.8152880141096335,1,1,NO_ACTION,NO_ACTION,,,0.3894383552485446,0,1,FAILED
D0000038,C000179,C000179_O0004,2025-10-13T06:32:28.103307+00:00,433,3,3,0,1.0,3,0,0,0,1,0,1,1,605443,1.4768991711022534,UPI,ISSUER_DECLINED,1,0.8584028155680887,1,0,NUDGE,NUDGE,,,0.27253506132297145,1,2,CAPTURED
D0000039,C000184,C000184_O0008,2026-07-28T23:20:25.200264+00:00,281,7,7,0,1.0,7,0,0,0,1,0,1,1,47826,0.9270401240550494,UPI,AUTHENTICATION_FAILURE,1,0.30998347920660774,0,0,SWITCH_DEBIT_CARD,SWITCH_METHOD,DEBIT_CARD,,0.13649152866187034,1,2,CAPTURED
D0000040,C000192,C000192_O0002,2026-05-25T14:15:20.268169+00:00,140,1,1,0,1.0,0,0,1,0,1,1,1,0,27200,0.67518927640561,UPI,TECHNICAL_FAILURE,1,0.8884928899178797,1,1,SWITCH_DEBIT_CARD,SWITCH_METHOD,DEBIT_CARD,,0.33063708121012436,1,3,CAPTURED
D0000041,C000192,C000192_O0005,2026-08-27T04:47:46.426099+00:00,140,4,4,0,1.0,1,1,2,0,1,1,1,0,39964,0.9920317736130073,CREDIT_CARD,USER_CANCELLED,1,0.977037708103259,1,0,SWITCH_DEBIT_CARD,SWITCH_METHOD,DEBIT_CARD,,0.14457112433612881,0,4,FAILED
D0000042,C000198,C000198_O0005,2026-07-05T16:33:01.516519+00:00,245,4,4,0,1.0,3,0,1,0,1,0,1,0,136436,1.1501163300401254,UPI,USER_CANCELLED,1,1.0,1,1,SWITCH_DEBIT_CARD,SWITCH_METHOD,DEBIT_CARD,,0.19206162305695648,1,2,CAPTURED
D0000043,C000199,C000199_O0008,2025-11-09T11:25:12.422206+00:00,642,7,7,0,1.0,7,0,0,0,1,0,1,1,136086,1.081145926020084,DEBIT_CARD,ISSUER_DECLINED,1,1.0,1,1,OFFER_5,APPROVED_OFFER,,5.0,0.1029449324506369,0,2,FAILED
D0000044,C000203,C000203_O0001,2025-11-05T13:28:53.627173+00:00,322,0,0,0,0.0,0,0,0,0,1,1,1,1,149561,1.2347759321026386,CREDIT_CARD,TECHNICAL_FAILURE,1,0.7303194654098297,1,1,SWITCH_NETBANKING,SWITCH_METHOD,NETBANKING,,0.24470338147588067,1,2,CAPTURED
D0000045,C000203,C000203_O0013,2026-04-21T18:46:22.259393+00:00,322,12,12,0,1.0,6,4,0,2,1,1,1,1,147853,1.2206746804927182,CREDIT_CARD,RISK_DECLINED,1,0.9146318716861981,1,1,SWITCH_DEBIT_CARD,SWITCH_METHOD,DEBIT_CARD,,0.1310234950985332,1,2,CAPTURED
D0000046,C000205,C000205_O0003,2026-08-25T00:06:28.320911+00:00,75,2,2,0,1.0,1,0,1,0,1,0,1,1,244582,0.9039976936382856,UPI,TECHNICAL_FAILURE,1,0.8412762671781936,0,0,SWITCH_DEBIT_CARD,SWITCH_METHOD,DEBIT_CARD,,0.34092085253723764,1,2,CAPTURED
D0000047,C000208,C000208_O0001,2026-03-11T23:55:11.321786+00:00,204,0,0,0,0.0,0,0,0,0,1,0,1,1,672301,1.8266666304395078,UPI,TECHNICAL_FAILURE,1,0.947634796386158,1,1,SWITCH_DEBIT_CARD,SWITCH_METHOD,DEBIT_CARD,,0.26290825329502426,1,2,CAPTURED
D0000048,C000208,C000208_O0002,2026-04-29T05:19:20.147758+00:00,204,1,1,0,1.0,1,0,0,0,1,0,1,1,430038,1.1684291179411381,UPI,INSUFFICIENT_FUNDS,1,0.9248637984362659,1,1,SWITCH_DEBIT_CARD,SWITCH_METHOD,DEBIT_CARD,,0.2798594553639812,0,1,FAILED
D0000049,C000213,C000213_O0003,2026-02-15T10:20:01.929229+00:00,379,2,2,0,1.0,2,0,0,0,1,0,1,1,323137,0.8632248481982813,DEBIT_CARD,AUTHENTICATION_FAILURE,1,1.0,1,0,NO_ACTION,NO_ACTION,,,0.44004991066435173,1,2,CAPTURED
D0000050,C000216,C000216_O0004,2026-03-26T08:24:05.885551+00:00,446,3,3,0,1.0,3,0,0,0,1,0,0,1,245571,0.9028677524909005,UPI,USER_CANCELLED,1,0.907475031058928,1,0,NUDGE,NUDGE,,,0.34154715377892464,0,1,FAILED
D0000051,C000217,C000217_O0018,2025-09-12T08:09:31.132442+00:00,822,17,17,0,1.0,11,5,1,0,1,1,1,1,186103,1.301219392820685,CREDIT_CARD,USER_CANCELLED,1,0.9965528330839664,1,0,NUDGE,NUDGE,,,0.23859438006831482,1,3,CAPTURED
D0000052,C000217,C000217_O0026,2026-02-15T13:21:26.924664+00:00,822,25,25,0,1.0,15,7,2,1,1,1,1,1,171527,1.19930500202766,CREDIT_CARD,AUTHENTICATION_FAILURE,1,0.9877570050783863,1,0,NUDGE,NUDGE,,,0.2296373584808412,1,2,CAPTURED
D0000053,C000220,C000220_O0003,2026-03-05T02:11:29.892866+00:00,294,2,2,0,1.0,2,0,0,0,1,0,1,0,104432,0.950254324425154,UPI,INSUFFICIENT_FUNDS,1,0.8504079692528144,1,0,NUDGE,NUDGE,,,0.26524154666653166,1,2,CAPTURED
D0000054,C000221,C000221_O0006,2026-02-23T20:44:14.411767+00:00,301,5,5,0,1.0,1,2,1,1,1,1,1,1,148957,0.6607008999658466,CREDIT_CARD,INSUFFICIENT_FUNDS,1,0.7796351128735357,1,1,OFFER_10,APPROVED_OFFER,,10.0,0.04736649571651484,1,2,CAPTURED
D0000055,C000221,C000221_O0010,2026-06-30T01:12:43.433704+00:00,301,9,9,0,1.0,3,4,1,1,1,1,1,1,146543,0.6499935685043002,CREDIT_CARD,ISSUER_DECLINED,1,0.7999914749930385,1,0,SWITCH_UPI,SWITCH_METHOD,UPI,,0.1238536903935973,0,1,FAILED
D0000056,C000230,C000230_O0006,2025-05-17T17:06:34.358360+00:00,625,5,5,0,1.0,4,0,1,0,1,0,1,0,454405,1.0614112129012365,DEBIT_CARD,ISSUER_DECLINED,1,0.9660868951931769,1,0,SWITCH_UPI,SWITCH_METHOD,UPI,,0.17754932723049646,0,1,FAILED
D0000057,C000230,C000230_O0008,2025-09-07T14:16:03.112910+00:00,625,7,6,1,0.8571428571428571,5,0,2,0,1,0,1,0,321229,0.750335191093961,UPI,USER_CANCELLED,1,1.0,1,1,NO_ACTION,NO_ACTION,,,0.5715979729356476,0,1,FAILED
D0000058,C000235,C000235_O0003,2025-06-14T03:24:34.610722+00:00,618,2,2,0,1.0,1,0,1,0,1,0,1,1,79046,0.9571124134256793,UPI,AUTHENTICATION_FAILURE,1,1.0,1,0,NUDGE,NUDGE,,,0.2478465723177201,0,1,FAILED
D0000059,C000235,C000235_O0008,2025-10-12T06:47:52.090680+00:00,618,7,6,1,0.8571428571428571,6,0,1,0,1,0,1,1,93768,1.13537075604204,UPI,USER_CANCELLED,1,0.972518334574236,1,0,NUDGE,NUDGE,,,0.27861191576055366,1,2,CAPTURED
D0000060,C000237,C000237_O0002,2026-07-15T01:04:16.254229+00:00,160,1,1,0,1.0,1,0,0,0,1,0,1,1,86413,0.8477098600115758,UPI,TECHNICAL_FAILURE,1,0.9284229020273272,1,1,NO_ACTION,NO_ACTION,,,0.30824082203600534,0,1,FAILED
D0000061,C000239,C000239_O0004,2026-02-11T23:57:39.578682+00:00,349,3,3,0,1.0,2,0,0,1,1,0,1,1,268356,1.3803965947377896,UPI,TECHNICAL_FAILURE,1,0.990598099811852,0,1,NO_ACTION,NO_ACTION,,,0.28318653189168724,0,1,FAILED
D0000062,C000244,C000244_O0013,2026-05-17T04:56:56.353315+00:00,338,12,12,0,1.0,9,0,2,1,1,0,1,1,115104,0.6087034696478527,UPI,TECHNICAL_FAILURE,1,0.9213265292689123,1,1,NO_ACTION,NO_ACTION,,,0.30294840725581074,1,2,CAPTURED
D0000063,C000245,C000245_O0008,2025-09-02T07:35:34.633613+00:00,836,7,7,0,1.0,3,3,0,1,1,1,1,1,249436,1.6944344435462506,CREDIT_CARD,USER_CANCELLED,1,0.9912246132157362,1,1,SWITCH_NETBANKING,SWITCH_METHOD,NETBANKING,,0.12518347526698798,1,2,CAPTURED
D0000064,C000245,C000245_O0011,2025-12-02T08:25:39.956323+00:00,836,10,10,0,1.0,4,5,0,1,1,1,1,1,124525,0.8459061606287659,DEBIT_CARD,USER_CANCELLED,1,0.9700781151178934,1,1,SWITCH_UPI,SWITCH_METHOD,UPI,,0.1424042719584284,1,2,CAPTURED
D0000065,C000245,C000245_O0013,2026-05-01T13:05:38.372058+00:00,836,12,12,0,1.0,4,6,1,1,1,1,1,1,201486,1.3687070763336482,CREDIT_CARD,USER_CANCELLED,1,0.9240129527739757,1,0,SWITCH_UPI,SWITCH_METHOD,UPI,,0.11535753718481666,0,1,FAILED
D0000066,C000245,C000245_O0014,2026-07-19T01:12:57.606777+00:00,836,13,12,1,0.9230769230769231,4,7,1,1,1,1,1,1,124094,0.8429783505084607,CREDIT_CARD,AUTHENTICATION_FAILURE,1,0.9093243975944982,1,1,NO_ACTION,NO_ACTION,,,0.6419881474684119,1,2,CAPTURED
D0000067,C000255,C000255_O0002,2024-03-24T15:24:44.205564+00:00,937,1,1,0,1.0,0,0,1,0,1,0,1,1,217071,1.2120506549633154,UPI,BANK_OR_PROVIDER_UNAVAILABLE,1,0.4600993560637555,1,0,SWITCH_NETBANKING,SWITCH_METHOD,NETBANKING,,0.27543176084055604,1,2,CAPTURED
D0000068,C000257,C000257_O0001,2026-04-02T01:41:49.121538+00:00,294,0,0,0,0.0,0,0,0,0,1,0,1,0,166691,0.9242126857396319,UPI,AUTHENTICATION_FAILURE,1,1.0,1,1,NO_ACTION,NO_ACTION,,,0.7507589966651321,1,2,CAPTURED
D0000069,C000268,C000268_O0004,2025-12-06T07:18:09.934377+00:00,477,3,3,0,1.0,2,0,0,1,1,1,0,1,66679,0.7119337169946295,UPI,ISSUER_DECLINED,1,0.9301076855116088,0,1,OFFER_10,APPROVED_OFFER,,10.0,0.09236825440505894,0,1,FAILED
D0000070,C000273,C000273_O0007,2025-11-26T10:05:17.633779+00:00,969,6,6,0,1.0,6,0,0,0,1,0,1,1,500013,1.2831407389158769,UPI,ISSUER_DECLINED,1,1.0,1,0,NO_ACTION,NO_ACTION,,,0.2473929427281164,0,1,FAILED
D0000071,C000280,C000280_O0001,2025-10-23T17:27:33.786213+00:00,505,0,0,0,0.0,0,0,0,0,1,1,1,1,118388,0.6442779165510223,CREDIT_CARD,ISSUER_DECLINED,1,1.0,1,0,OFFER_10,APPROVED_OFFER,,10.0,0.07880618852578757,1,3,CAPTURED
D0000072,C000280,C000280_O0004,2026-05-25T00:23:22.741041+00:00,505,3,3,0,1.0,2,1,0,0,1,1,1,1,137520,0.7483959445560072,UPI,ISSUER_DECLINED,1,1.0,1,1,OFFER_5,APPROVED_OFFER,,5.0,0.09152902813869818,0,1,FAILED
D0000073,C000302,C000302_O0010,2025-01-26T23:22:27.804343+00:00,823,9,9,0,1.0,8,1,0,0,1,1,1,1,111947,1.0733276445603506,DEBIT_CARD,INSUFFICIENT_FUNDS,1,0.9939544884625232,1,1,SWITCH_CREDIT_CARD,SWITCH_METHOD,CREDIT_CARD,,0.21193643724201,0,1,FAILED
D0000074,C000302,C000302_O0017,2026-01-16T20:30:30.935622+00:00,823,16,15,1,0.9375,13,2,1,0,1,1,1,1,113436,1.0876039079952828,UPI,USER_CANCELLED,1,0.9280393700274826,1,0,SWITCH_CREDIT_CARD,SWITCH_METHOD,CREDIT_CARD,,0.12025569973061713,1,2,CAPTURED
D0000075,C000304,C000304_O0001,2025-12-27T11:25:00.151545+00:00,296,0,0,0,0.0,0,0,0,0,1,0,1,1,184870,0.9674093920396865,UPI,ISSUER_DECLINED,1,1.0,1,1,OFFER_10,APPROVED_OFFER,,10.0,0.09345820617743161,1,2,CAPTURED
D0000076,C000308,C000308_O0002,2025-09-29T16:17:27.015201+00:00,408,1,1,0,1.0,1,0,0,0,1,0,1,1,106251,1.392725127801809,UPI,INSUFFICIENT_FUNDS,1,0.9834975998381633,0,0,NO_ACTION,NO_ACTION,,,0.2094903406947407,0,2,FAILED
D0000077,C000308,C000308_O0011,2026-07-05T23:02:52.617778+00:00,408,10,9,1,0.9,10,0,0,0,1,0,1,1,54272,0.7113907458382488,UPI,AUTHENTICATION_FAILURE,1,0.9867283922061363,0,1,NO_ACTION,NO_ACTION,,,0.6948968829328752,0,2,FAILED
D0000078,C000314,C000314_O0002,2025-04-18T13:28:46.969446+00:00,606,1,1,0,1.0,1,0,0,0,1,0,1,0,407125,1.0650919308085935,DEBIT_CARD,AUTHENTICATION_FAILURE,1,1.0,1,1,NO_ACTION,NO_ACTION,,,0.7347756393830276,0,2,FAILED
D0000079,C000315,C000315_O0006,2025-09-02T11:13:31.547644+00:00,459,5,5,0,1.0,4,0,0,1,1,0,1,1,649666,1.6573239080911333,UPI,INSUFFICIENT_FUNDS,1,0.9786087832712626,1,0,NUDGE,NUDGE,,,0.2156764918793852,0,1,FAILED
D0000080,C000332,C000332_O0001,2026-04-21T11:40:42.725932+00:00,177,0,0,0,0.0,0,0,0,0,1,1,1,1,60440,0.9579813285571634,CREDIT_CARD,TECHNICAL_FAILURE,1,0.7983640525884942,1,1,SWITCH_DEBIT_CARD,SWITCH_METHOD,DEBIT_CARD,,0.21849400509636654,1,2,CAPTURED
D0000081,C000333,C000333_O0003,2024-10-05T23:16:49.092518+00:00,904,2,2,0,1.0,2,0,0,0,1,0,1,0,348682,1.0421577095855363,UPI,USER_CANCELLED,1,1.0,1,1,NO_ACTION,NO_ACTION,,,0.5790334925912509,0,1,FAILED
D0000082,C000333,C000333_O0007,2025-12-08T01:56:45.209697+00:00,904,6,5,1,0.8333333333333334,6,0,0,0,1,0,1,0,504726,1.5085496014370383,UPI,INSUFFICIENT_FUNDS,1,0.9189756926734113,1,0,NUDGE,NUDGE,,,0.2642096853183487,0,4,FAILED
D0000083,C000337,C000337_O0006,2026-04-11T08:01:23.107003+00:00,269,5,5,0,1.0,5,0,0,0,1,0,1,0,81391,1.0081378353605668,UPI,ISSUER_DECLINED,1,1.0,1,0,OFFER_10,APPROVED_OFFER,,10.0,0.09175852152536373,1,2,CAPTURED
D0000084,C000338,C000338_O0008,2025-09-17T04:58:49.437556+00:00,1047,7,7,0,1.0,4,2,1,0,1,1,1,1,650584,1.0592725259695854,UPI,AUTHENTICATION_FAILURE,1,0.8857936351588546,1,0,SWITCH_DEBIT_CARD,SWITCH_METHOD,DEBIT_CARD,,0.07357047170056483,1,2,CAPTURED
D0000085,C000339,C000339_O0004,2025-09-12T15:45:49.018525+00:00,487,3,3,0,1.0,3,0,0,0,1,0,1,1,126124,0.7642952369409769,DEBIT_CARD,ISSUER_DECLINED,1,1.0,1,1,OFFER_5,APPROVED_OFFER,,5.0,0.1029449324506369,1,3,CAPTURED
D0000086,C000343,C000343_O0002,2026-06-23T16:40:10.954517+00:00,665,1,1,0,1.0,0,1,0,0,1,1,1,1,103283,1.1001949359267977,UPI,AUTHENTICATION_FAILURE,1,0.7836452910532375,0,1,NO_ACTION,NO_ACTION,,,0.6350630160289923,1,3,CAPTURED
D0000087,C000343,C000343_O0003,2026-07-07T10:26:44.457819+00:00,665,2,2,0,1.0,1,1,0,0,1,1,1,1,88198,0.9395059492740501,UPI,USER_CANCELLED,1,1.0,0,1,OFFER_10,APPROVED_OFFER,,10.0,0.07951050522239496,1,2,CAPTURED
D0000088,C000353,C000353_O0002,2026-05-02T22:59:42.798977+00:00,255,1,1,0,1.0,0,1,0,0,1,1,1,0,1075541,1.3342972658803856,CREDIT_CARD,ISSUER_DECLINED,1,0.9807940058335447,1,0,SWITCH_DEBIT_CARD,SWITCH_METHOD,DEBIT_CARD,,0.1212570969227605,0,1,FAILED
